Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,140.000000 ,530.000000 ,1780.000000  
15/10/2011 12:00,734791.500000,0.000000,0,0,1,5.000000,5.000000,5.000000 
15/10/2011 13:00,734791.541667,0.041667,1,1,1,5.908705,5.008976,5.000007 
15/10/2011 14:00,734791.583333,0.083333,1,1,1,6.224338,5.020952,5.000024 
15/10/2011 15:00,734791.625000,0.125000,1,1,1,6.415732,5.034661,5.000051 
15/10/2011 16:00,734791.666667,0.166667,1,1,1,5.606051,5.040192,5.000083 
15/10/2011 17:00,734791.708333,0.208333,1,1,1,3.597128,5.025806,5.000103 
15/10/2011 18:00,734791.750000,0.250000,1,1,1,1.735725,4.993223,5.000098 
15/10/2011 19:00,734791.791667,0.291667,1,1,1,0.344859,4.947329,5.000056 
15/10/2011 20:00,734791.833333,0.333333,1,1,1,-0.009791,4.898093,4.999975 
15/10/2011 21:00,734791.875000,0.375000,1,1,1,-0.013942,4.849015,4.999856 
15/10/2011 22:00,734791.916667,0.416667,1,1,1,-0.018225,4.800202,4.999698 
15/10/2011 23:00,734791.958333,0.458333,1,1,1,-0.024561,4.751598,4.999502 
16/10/2011 00:00,734792.000000,0.500000,1,1,1,-0.032563,4.703209,4.999268 
16/10/2011 01:00,734792.041667,0.541667,1,1,1,-0.041605,4.655079,4.998996 
16/10/2011 02:00,734792.083333,0.583333,1,1,1,-0.053672,4.607168,4.998686 
16/10/2011 03:00,734792.125000,0.625000,1,1,1,-0.070322,4.559415,4.998339 
16/10/2011 04:00,734792.166667,0.666667,1,1,1,-0.089734,4.511831,4.997954 
16/10/2011 05:00,734792.208333,0.708333,1,1,1,-0.109869,4.464459,4.997533 
16/10/2011 06:00,734792.250000,0.750000,1,1,1,-0.135329,4.417240,4.997074 
16/10/2011 07:00,734792.291667,0.791667,1,1,1,-0.167674,4.370097,4.996579 
16/10/2011 08:00,734792.333333,0.833333,1,1,1,-0.189005,4.323254,4.996046 
16/10/2011 09:00,734792.375000,0.875000,1,1,1,-0.181948,4.277180,4.995478 
16/10/2011 10:00,734792.416667,0.916667,1,1,1,-0.143073,4.232419,4.994875 
16/10/2011 11:00,734792.458333,0.958333,1,1,1,-0.102879,4.189055,4.994238 
16/10/2011 12:00,734792.500000,1.000000,1,1,1,-0.071789,4.147002,4.993569 
16/10/2011 13:00,734792.541667,1.041667,1,1,1,-0.052032,4.106077,4.992867 
16/10/2011 14:00,734792.583333,1.083333,1,1,1,-0.040930,4.066083,4.992135 
16/10/2011 15:00,734792.625000,1.125000,1,1,1,-0.033535,4.026922,4.991372 
16/10/2011 16:00,734792.666667,1.166667,1,1,1,-0.030724,3.988412,4.990579 
16/10/2011 17:00,734792.708333,1.208333,1,1,1,-0.030140,3.950448,4.989757 
16/10/2011 18:00,734792.750000,1.250000,1,1,1,-0.031215,3.912947,4.988906 
16/10/2011 19:00,734792.791667,1.291667,1,1,1,-0.041666,3.875543,4.988026 
16/10/2011 20:00,734792.833333,1.333333,1,1,1,-0.065657,3.837937,4.987117 
16/10/2011 21:00,734792.875000,1.375000,1,1,1,-0.086055,3.800363,4.986179 
16/10/2011 22:00,734792.916667,1.416667,1,1,1,-0.114204,3.762735,4.985212 
16/10/2011 23:00,734792.958333,1.458333,1,1,1,-0.153043,3.724936,4.984216 
17/10/2011 00:00,734793.000000,1.500000,1,1,1,-0.199193,3.686924,4.983190 
17/10/2011 01:00,734793.041667,1.541667,1,1,1,-0.248567,3.648708,4.982135 
17/10/2011 02:00,734793.083333,1.583333,1,1,1,-0.010995,3.616487,4.981056 
17/10/2011 03:00,734793.125000,1.625000,1,1,1,10.509426,3.689043,4.980035 
17/10/2011 04:00,734793.166667,1.666667,1,1,1,22.477270,3.878860,4.979165 
17/10/2011 05:00,734793.208333,1.708333,1,1,1,33.911975,4.179130,4.978532 
