Date12[DDMMYYYYhhmm],snow_depth[mm],snow_water_equivalent[mm],Tair[C],Tsurface[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2]
15/10/2011 13:00,0.000000,0.000000,12.250000,28.376070,235.732838,235.732838,579.509535,467.696641,111.812894,259.571222
15/10/2011 14:00,0.000000,0.000000,21.400000,18.290112,121.327487,121.327487,487.305435,387.250390,100.055045,284.264065
15/10/2011 15:00,0.000000,0.000000,11.550000,10.784838,42.068930,42.068930,310.406729,208.420387,101.986343,275.235948
15/10/2011 16:00,0.000000,0.000000,32.250000,25.126916,183.196758,183.196758,97.277678,23.099618,74.178060,402.798808
15/10/2011 17:00,0.000000,0.000000,56.550000,29.469870,196.597690,196.597690,6.402514,0.178373,6.224141,462.755992
15/10/2011 18:00,0.000000,0.000000,54.250000,26.726984,173.819843,173.819843,0.026266,0.000000,0.026266,436.363312
15/10/2011 19:00,0.000000,0.000000,51.100000,24.259765,148.258410,148.258410,0.000108,0.000000,0.000108,431.693882
15/10/2011 20:00,0.000000,0.000000,50.850000,24.976188,148.489663,148.489663,0.000000,0.000000,0.000000,437.744824
15/10/2011 21:00,0.000000,0.000000,50.050000,23.185112,126.940496,126.940496,0.000000,0.000000,0.000000,433.963423
15/10/2011 22:00,0.000000,0.000000,39.500000,12.359299,15.061362,15.061362,0.000000,0.000000,0.000000,379.439949
15/10/2011 23:00,0.000000,0.000000,43.200000,20.985238,101.278654,101.278654,0.000000,0.000000,0.000000,417.161784
16/10/2011 00:00,0.000000,0.000000,39.450000,18.373334,71.987531,71.987531,0.000000,0.000000,0.000000,398.737152
16/10/2011 01:00,0.000000,0.000000,33.700000,11.609553,1.974146,1.974146,0.000000,0.000000,0.000000,370.334835
16/10/2011 02:00,0.000000,0.000000,34.550000,14.319314,30.244517,30.244517,0.000000,0.000000,0.000000,379.453728
16/10/2011 03:00,0.000000,0.000000,33.950000,17.313322,59.552239,59.552239,0.000000,0.000000,0.000000,383.947954
16/10/2011 04:00,0.000000,0.000000,30.500000,12.360283,8.494255,8.494255,0.000000,0.000000,0.000000,371.029035
16/10/2011 05:00,0.000000,0.000000,24.950000,9.773020,-17.017006,-17.017006,0.000000,0.000000,0.000000,343.726952
16/10/2011 06:00,0.000000,0.000000,25.900000,12.606660,13.328945,13.328945,3.988824,0.000000,3.988824,353.138667
16/10/2011 07:00,0.000000,0.000000,29.050000,15.230849,40.298520,40.298520,61.221208,2.282728,58.938479,378.010930
16/10/2011 08:00,0.000000,0.000000,22.250000,18.252905,70.017331,70.017331,155.062665,19.492536,135.570130,346.956976
16/10/2011 09:00,0.000000,0.000000,8.900000,14.670536,31.514412,31.514412,234.031443,39.102145,194.929298,287.430680
16/10/2011 10:00,0.000000,0.000000,-17.150000,2.428099,-92.233737,-92.233737,303.415006,65.452776,237.962230,195.793677
16/10/2011 11:00,0.000000,0.000000,-3.700000,8.178787,-29.180276,-29.180276,389.275314,135.680775,253.594539,248.903969
16/10/2011 12:00,0.000000,0.000000,-6.200000,4.349356,-65.292482,-65.292482,605.824748,477.106987,128.717761,217.636980
16/10/2011 13:00,0.000000,0.000000,-2.900000,3.928339,-65.791340,-65.791340,550.312388,420.808551,129.503837,230.591268
16/10/2011 14:00,0.000000,0.000000,6.700000,11.732478,16.094132,16.094132,446.126467,325.226216,120.900251,271.885937
16/10/2011 15:00,0.000000,0.000000,8.550000,10.409935,2.810917,2.810917,300.213269,196.844527,103.368741,271.730254
16/10/2011 16:00,0.000000,0.000000,14.650000,11.889214,18.244055,18.244055,98.994446,26.597142,72.397304,296.538702
16/10/2011 17:00,0.000000,0.000000,17.850000,8.649126,-14.422874,-14.422874,5.063488,0.163726,4.899762,271.182686
16/10/2011 18:00,0.000000,0.000000,17.550000,8.163503,-17.970786,-17.970786,0.020772,0.000000,0.020772,264.866307
16/10/2011 19:00,0.000000,0.000000,33.900000,17.199996,72.811928,72.811928,0.000085,0.000000,0.000085,333.332877
16/10/2011 20:00,0.000000,0.000000,42.550000,22.304871,117.522788,117.522788,0.000000,0.000000,0.000000,382.058491
