Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,140.000000 ,530.000000 ,1780.000000  
15/10/2011 12:00,734791.500000,0.000000,0,0,1,5.000000,5.000000,5.000000 
15/10/2011 13:00,734791.541667,0.041667,1,1,1,5.908705,5.008976,5.000007 
15/10/2011 14:00,734791.583333,0.083333,1,1,1,6.224338,5.020952,5.000024 
15/10/2011 15:00,734791.625000,0.125000,1,1,1,6.415732,5.034661,5.000051 
15/10/2011 16:00,734791.666667,0.166667,1,1,1,5.606051,5.040192,5.000083 
15/10/2011 17:00,734791.708333,0.208333,1,1,1,3.565861,5.025497,5.000103 
15/10/2011 18:00,734791.750000,0.250000,1,1,1,1.606293,4.991639,5.000096 
15/10/2011 19:00,734791.791667,0.291667,1,1,1,-0.007029,4.942264,5.000050 
15/10/2011 20:00,734791.833333,0.333333,1,1,1,-0.012130,4.892796,4.999966 
15/10/2011 21:00,734791.875000,0.375000,1,1,1,-0.020212,4.843242,4.999842 
15/10/2011 22:00,734791.916667,0.416667,1,1,1,-0.028451,4.793828,4.999679 
15/10/2011 23:00,734791.958333,0.458333,1,1,1,-0.044559,4.744348,4.999477 
16/10/2011 00:00,734792.000000,0.500000,1,1,1,-0.067919,4.694779,4.999236 
16/10/2011 01:00,734792.041667,0.541667,1,1,1,-0.091400,4.645288,4.998957 
16/10/2011 02:00,734792.083333,0.583333,1,1,1,-0.126216,4.595735,4.998638 
16/10/2011 03:00,734792.125000,0.625000,1,1,1,-0.194567,4.545648,4.998280 
16/10/2011 04:00,734792.166667,0.666667,1,1,1,-0.267433,4.495125,4.997882 
16/10/2011 05:00,734792.208333,0.708333,1,1,1,-0.331498,4.444386,4.997445 
16/10/2011 06:00,734792.250000,0.750000,1,1,1,-0.439739,4.392881,4.996967 
16/10/2011 07:00,734792.291667,0.791667,1,1,1,-0.547326,4.340696,4.996448 
16/10/2011 08:00,734792.333333,0.833333,1,1,1,-0.613607,4.288405,4.995888 
16/10/2011 09:00,734792.375000,0.875000,1,1,1,-0.593779,4.237110,4.995289 
16/10/2011 10:00,734792.416667,0.916667,1,1,1,-0.456393,4.188318,4.994651 
