Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],thawed_soil_depth[mm],water_table_depth[mm]
02/08/2010 13:00,734352.541667,0.041667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,19.087524,-9999.000000,-9999.000000,213.383255,213.383255,446.280562,63.105638,383.174924,288.356911,248.215275,221.405930,357.024450,-136.726370,6.727069,0.187755,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.727069,0.185434,0.000000,0.000000,0.000272,0.000000,0.000000,0.000000,-9999.000000,0.013727,0.003773,-9999.000000,0.975700,0.000000,-9999.000000,0.000000,89.256112,408.541321,6.727069,0.187755,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1171.469020
02/08/2010 14:00,734352.583333,0.083333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,15.555346,-9999.000000,-9999.000000,143.084703,143.084703,391.731103,41.489029,350.242073,288.356911,248.215275,221.405930,313.384882,-117.092224,49.718069,3.489887,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.718069,3.460924,0.000000,0.000000,0.005056,0.000000,0.000000,0.000000,-9999.000000,0.010962,0.003773,-9999.000000,-0.289150,0.000000,-9999.000000,0.000000,78.346221,389.692541,49.718069,3.489887,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1171.376219
02/08/2010 15:00,734352.625000,0.125000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,13.833020,-9999.000000,-9999.000000,106.264114,106.264114,320.084159,20.402966,299.681193,288.356911,248.215275,221.405930,256.067327,-107.776113,39.267540,2.759559,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.267540,2.742543,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,-9999.000000,0.009802,0.003773,-9999.000000,-0.358068,0.000000,-9999.000000,0.000000,64.016832,380.749075,39.267540,2.759559,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1171.284552
02/08/2010 16:00,734352.666667,0.166667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,11.560633,-9999.000000,-9999.000000,64.318924,64.318924,237.890386,3.836883,234.053503,288.356911,248.215275,221.405930,190.312309,-95.738720,28.189572,2.065093,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.189572,2.057384,0.000000,0.000000,0.002994,0.000000,0.000000,0.000000,-9999.000000,0.008439,0.003773,-9999.000000,-0.410492,0.000000,-9999.000000,0.000000,47.578077,369.193177,28.189572,2.065093,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1171.194004
02/08/2010 17:00,734352.708333,0.208333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,9.143219,-9999.000000,-9999.000000,23.683530,23.683530,156.400981,0.000000,156.400981,288.356911,248.215275,221.405930,125.120785,-83.245625,16.770980,1.420649,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.770980,1.418696,0.000000,0.000000,0.002060,0.000000,0.000000,0.000000,-9999.000000,0.007175,0.003773,-9999.000000,-0.519491,0.000000,-9999.000000,0.000000,31.280196,357.199806,16.770980,1.420649,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1171.104561
02/08/2010 18:00,734352.750000,0.250000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,6.387935,-9999.000000,-9999.000000,-18.775041,-18.775041,70.695187,0.000000,70.695187,288.356911,248.215275,221.405930,56.556149,-69.392515,5.111043,0.827632,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.111043,0.828534,0.000000,0.000000,0.001200,0.000000,0.000000,0.000000,-9999.000000,0.005942,0.003773,-9999.000000,-0.761521,0.000000,-9999.000000,0.000000,14.139037,343.900821,5.111043,0.827632,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1171.016209
02/08/2010 19:00,734352.791667,0.291667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,4.109877,-9999.000000,-9999.000000,-50.668789,-50.668789,6.733417,0.000000,6.733417,288.356911,248.215275,221.405930,5.386734,-58.243983,-2.582264,0.393803,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.582264,0.394961,0.000000,0.000000,0.000571,0.000000,0.000000,0.000000,-9999.000000,0.005069,0.003773,-9999.000000,-2.157293,0.000000,-9999.000000,0.000000,1.346683,333.198230,-2.582264,0.393803,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1170.928935
02/08/2010 20:00,734352.833333,0.333333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,3.515601,-9999.000000,-9999.000000,-54.652687,-54.652687,0.000000,0.000000,0.000000,288.356911,248.215275,221.405930,0.000000,-55.380493,-0.728619,0.000813,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728619,0.000815,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,-9999.000000,0.004860,0.003773,-9999.000000,0.022641,0.000000,-9999.000000,0.000000,0.000000,330.449280,-0.728619,0.000813,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1170.842724
02/08/2010 21:00,734352.875000,0.375000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1013.250000,5.000000,-0.012389,3.263025,-9999.000000,-9999.000000,-53.316107,-53.316107,0.000000,0.000000,0.000000,288.356911,248.215275,221.405930,0.000000,-54.169044,-0.852983,0.000046,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.852983,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.004774,0.003773,-9999.000000,0.003496,0.000000,-9999.000000,0.000000,0.000000,329.286288,-0.852983,0.000046,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2780.000000,1170.757564
