DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutland[m3/s]
02/08/2010 13:00,0.041667,734352.541667,213.541667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 14:00,0.083333,734352.583333,213.583333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 15:00,0.125000,734352.625000,213.625000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 16:00,0.166667,734352.666667,213.666667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 17:00,0.208333,734352.708333,213.708333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 18:00,0.250000,734352.750000,213.750000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 19:00,0.291667,734352.791667,213.791667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 20:00,0.333333,734352.833333,213.833333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
02/08/2010 21:00,0.375000,734352.875000,213.875000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
