Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,WaterEquivalent[mm](1),WaterEquivalent[mm](2),WaterEquivalent[mm](3),Depth[mm](1),Depth[mm](2),Depth[mm](3),Density[kg/m3](1),Density[kg/m3](2),Density[kg/m3](3),Temperature[C](1),Temperature[C](2),Temperature[C](3),IceContent[-](1),IceContent[-](2),IceContent[-](3),LiqWaterContent[-](1),LiqWaterContent[-](2),LiqWaterContent[-](3)
02/08/2010 13:00,734352.541667,0.041667,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 14:00,734352.583333,0.083333,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 15:00,734352.625000,0.125000,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 16:00,734352.666667,0.166667,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 17:00,734352.708333,0.208333,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 18:00,734352.750000,0.250000,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 19:00,734352.791667,0.291667,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 20:00,734352.833333,0.333333,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
02/08/2010 21:00,734352.875000,0.375000,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
