Date12[DDMMYYYYhhmm],snow_depth[mm],snow_water_equivalent[mm],Tair[C],Tsurface[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2]
15/10/2011 13:00,0.000000,0.000000,5.481670,30.405190,255.525436,255.525436,655.482196,554.038033,101.444163,299.603168
15/10/2011 14:00,0.000000,0.000000,6.218907,28.946272,230.270536,230.270536,526.256028,425.781678,100.474351,308.084888
15/10/2011 15:00,0.000000,0.000000,7.096218,18.725920,117.050032,117.050032,337.262399,240.158828,97.103571,311.416721
15/10/2011 16:00,0.000000,0.000000,7.316198,10.692452,31.294258,31.294258,114.065075,39.516990,74.548085,309.774924
15/10/2011 17:00,0.000000,0.000000,6.829500,4.653265,-30.732480,-30.732480,6.454561,0.000000,6.454561,306.202321
15/10/2011 18:00,0.000000,0.000000,6.070467,3.886419,-36.665418,-36.665418,0.030839,0.000000,0.030839,302.204131
15/10/2011 19:00,0.000000,0.000000,4.352959,3.123526,-42.333142,-42.333142,0.000147,0.000000,0.000147,295.337693
15/10/2011 20:00,0.000000,0.000000,3.857130,2.774671,-43.602565,-43.602565,0.000001,0.000000,0.000001,293.040341
15/10/2011 21:00,0.000000,0.000000,3.249119,2.426692,-44.851237,-44.851237,0.000000,0.000000,0.000000,290.716130
15/10/2011 22:00,0.000000,0.000000,2.766634,2.123169,-45.637719,-45.637719,0.000000,0.000000,0.000000,288.753439
15/10/2011 23:00,0.000000,0.000000,3.976943,2.265188,-41.898120,-41.898120,0.000000,0.000000,0.000000,292.567825
16/10/2011 00:00,0.000000,0.000000,4.851211,2.560229,-36.868432,-36.868432,0.000000,0.000000,0.000000,295.470811
16/10/2011 01:00,0.000000,0.000000,3.241056,1.913391,-41.600605,-41.600605,0.000000,0.000000,0.000000,289.787838
16/10/2011 02:00,0.000000,0.000000,3.560932,1.912626,-39.619809,-39.619809,0.000000,0.000000,0.000000,290.875231
16/10/2011 03:00,0.000000,0.000000,3.602768,1.825417,-38.641264,-38.641264,0.000000,0.000000,0.000000,290.753818
16/10/2011 04:00,0.000000,0.000000,3.559079,1.666646,-38.454958,-38.454958,0.000000,0.000000,0.000000,290.200719
16/10/2011 05:00,0.000000,0.000000,3.218411,1.443704,-38.964115,-38.964115,0.000000,0.000000,0.000000,288.625261
16/10/2011 06:00,0.000000,0.000000,3.769617,1.769878,-33.922898,-33.922898,5.363835,0.000000,5.363835,290.424283
16/10/2011 07:00,0.000000,0.000000,3.102168,5.497558,5.254342,5.254342,92.484768,19.128519,73.356249,288.546808
16/10/2011 08:00,0.000000,0.000000,3.908246,13.207456,82.827740,82.827740,257.278317,128.187264,129.091052,291.733916
16/10/2011 09:00,0.000000,0.000000,5.217915,21.627788,164.126099,164.126099,399.834352,238.555973,161.278379,298.082514
16/10/2011 10:00,0.000000,0.000000,7.451822,27.885671,219.909749,219.909749,506.693934,327.526662,179.167272,308.809874
16/10/2011 11:00,0.000000,0.000000,8.563355,30.256018,233.640952,233.640952,586.768504,412.564241,174.204263,315.096363
16/10/2011 12:00,0.000000,0.000000,8.530845,37.325463,294.539502,294.539502,716.878818,608.482575,108.396243,316.731065
16/10/2011 13:00,0.000000,0.000000,8.889457,37.171435,281.026446,281.026446,647.819220,541.257357,106.561863,320.822074
16/10/2011 14:00,0.000000,0.000000,9.259007,27.686238,173.190346,173.190346,515.671478,413.352366,102.319112,322.601699
16/10/2011 15:00,0.000000,0.000000,9.304600,20.277479,92.091145,92.091145,326.514203,227.714391,98.799812,322.238611
16/10/2011 16:00,0.000000,0.000000,8.957754,11.898191,4.594819,4.594819,105.696933,33.197266,72.499667,319.474514
16/10/2011 17:00,0.000000,0.000000,7.917078,7.052138,-43.552716,-43.552716,4.877331,0.000000,4.877331,313.344291
16/10/2011 18:00,0.000000,0.000000,6.652963,6.182777,-49.400092,-49.400092,0.023303,0.000000,0.023303,307.700408
16/10/2011 19:00,0.000000,0.000000,4.272376,4.966578,-58.548278,-58.548278,0.000111,0.000000,0.000111,297.241608
16/10/2011 20:00,0.000000,0.000000,2.873982,4.398842,-60.813937,-60.813937,0.000001,0.000000,0.000001,292.510546
16/10/2011 21:00,0.000000,0.000000,3.023831,4.194675,-59.354709,-59.354709,0.000000,0.000000,0.000000,293.597547
16/10/2011 22:00,0.000000,0.000000,3.403533,4.150458,-56.414335,-56.414335,0.000000,0.000000,0.000000,294.525614
16/10/2011 23:00,0.000000,0.000000,3.259249,3.885345,-55.899300,-55.899300,0.000000,0.000000,0.000000,294.627962
17/10/2011 00:00,0.000000,0.000000,2.730065,3.487391,-56.814602,-56.814602,0.000000,0.000000,0.000000,292.911691
17/10/2011 01:00,0.000000,0.000000,2.006092,3.209003,-56.552724,-56.552724,0.000000,0.000000,0.000000,290.258075
17/10/2011 02:00,0.000000,0.000000,1.643960,3.049148,-55.156568,-55.156568,0.000000,0.000000,0.000000,288.816030
17/10/2011 03:00,0.000000,0.000000,1.680736,2.846174,-54.303870,-54.303870,0.000000,0.000000,0.000000,288.937198
17/10/2011 04:00,0.000000,0.000000,2.216673,2.910339,-50.843128,-50.843128,0.000000,0.000000,0.000000,290.494700
17/10/2011 05:00,0.000000,0.000000,3.737169,3.251809,-44.777566,-44.777566,0.000000,0.000000,0.000000,295.094024
17/10/2011 06:00,0.000000,0.000000,3.539999,3.181587,-43.189602,-43.189602,5.191651,0.000000,5.191651,293.967449
17/10/2011 07:00,0.000000,0.000000,4.099892,6.569889,-6.752602,-6.752602,90.217759,18.598090,71.619669,295.930116
17/10/2011 08:00,0.000000,0.000000,4.844573,13.876458,67.494447,67.494447,259.573260,134.218459,125.354801,298.979626
17/10/2011 09:00,0.000000,0.000000,6.293974,19.427592,120.426657,120.426657,408.304379,254.630694,153.673685,305.676451
17/10/2011 10:00,0.000000,0.000000,7.488581,27.297169,194.652066,194.652066,518.459970,349.252937,169.207033,312.010762
17/10/2011 11:00,0.000000,0.000000,8.927630,32.534148,239.236399,239.236399,578.323251,402.742527,175.580723,319.883768
17/10/2011 12:00,0.000000,0.000000,9.743567,41.174006,316.350898,316.350898,707.061664,597.691495,109.370168,326.484194
